Id,Title,User Story (Cómo (rol) / Quiero (eventos) / Para (funcionalidad) ),Acceptance Criteria,Story Points,Sprint,Prerequisites,Dependencies,Comments,Desglose de Tareas,Estimación de Tareas (horas),Prioridad,Responsable Técnico,Estado Tarea,Bloqueos
1,Autenticación de guardias,Como Guardia quiero autenticarme con usuario y contraseña para acceder al sistema de control,"Sistema valida credenciales, manejo de errores, interfaz de login funcional",5,Sprint 1,Base de datos usuarios,-,RF001.1 - Funcionalidad core,1. Diseñar interfaz de login 2. Implementar validación de credenciales 3. Configurar sesiones de usuario 4. Pruebas de seguridad,16h,Crítica,Senior Mobile Developer (iOS/Android),En Progreso,Ninguno
2,Manejo de roles,Como Sistema quiero distinguir roles Guardia y Administrador para controlar acceso a funcionalidades,"Identificación de rol post-login, interfaz adaptativa, restricciones por rol",3,Sprint 1,Sistema de autenticación,US001,RF001.2 - Base para permisos,1. Crear tabla de roles en BD 2. Implementar middleware de autorización 3. Adaptar UI por roles,12h,Crítica,Mobile Software Architect (iOS/Android),Pendiente,US001
3,Logout seguro,Como Usuario quiero cerrar sesión de forma segura para proteger mi cuenta,"Botón logout visible, limpieza de sesión, redirección a login",2,Sprint 1,Sistema de sesiones,US001,RF001.3 - Seguridad básica,1. Implementar función logout 2. Limpiar datos de sesión 3. Redireccionar a login,8h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US001
4,Sesión configurable,Como Administrador quiero configurar tiempo de sesión activa para balancear seguridad y usabilidad,"Configuración por admin, auto-logout por tiempo, notificación previa",5,Sprint 1,Panel admin,"US001, US002",RF001.4 - Configuración avanzada,1. Crear configuración de timeout 2. Implementar auto-logout 3. Agregar notificaciones previas 4. Panel de configuración admin,20h,Media,Mobile Software Architect (iOS/Android),Pendiente,"US001, US002"
5,Cambio de contraseña,Como Usuario quiero cambiar mi contraseña para mantener mi cuenta segura,"Validación contraseña actual, nueva contraseña segura, confirmación",3,Sprint 1,Sistema autenticación,US001,RF001.5 - Gestión personal,1. Formulario cambio contraseña 2. Validaciones de seguridad 3. Encriptación y almacenamiento,12h,Baja,Mid Tester,Pendiente,US001
6,Registrar guardias,Como Administrador quiero registrar nuevos guardias para ampliar el equipo de seguridad,"Formulario registro, validación datos, asignación credenciales",5,Sprint 2,Panel admin funcional,US002,RF002.1 - Gestión de personal,1. Diseñar formulario registro 2. Validaciones de datos 3. Generación automática credenciales 4. Notificación al nuevo usuario,20h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US002
7,Activar/desactivar guardias,Como Administrador quiero activar/desactivar cuentas de guardias para controlar acceso al sistema,"Toggle activación, bloqueo de acceso, notificación al usuario",3,Sprint 2,Lista de guardias,US006,RF002.2 - Control de acceso,1. Implementar toggle activación 2. Bloqueo de acceso en BD 3. Sistema de notificaciones,12h,Media,Mid Tester,Pendiente,US006
8,Asignar puntos de control,Como Administrador quiero asignar guardias a puntos específicos para organizar la cobertura de seguridad,"Lista puntos control, asignación múltiple, visualización asignaciones",8,Sprint 2,Catálogo puntos control,US006,RF002.3 - Organización territorial,1. CRUD puntos de control 2. Interface asignación múltiple 3. Mapa visual de asignaciones 4. Validaciones de conflictos,32h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US006
9,Modificar datos guardias,Como Administrador quiero modificar datos de guardias para mantener información actualizada,"Formulario edición, validación cambios, historial modificaciones",5,Sprint 2,Sistema guardias,US006,RF002.4 - Mantenimiento datos,1. Formulario edición guardia 2. Validaciones de integridad 3. Log de cambios históricos 4. Interfaz de historial,20h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US006
10,Reportes actividad guardias,Como Administrador quiero generar reportes de actividad para supervisar desempeño del equipo,"Reporte por periodo, métricas actividad, exportación PDF",8,Sprint 3,Datos históricos,US006,RF002.5 - Analytics básico,1. Query builder para reportes 2. Generación de métricas 3. Exportación PDF 4. Programación automática,32h,Media,Scrum Master,Pendiente,US006
